letter_number,direction,correspondent,date,year
872,to,Miss Susanna Thrale,"DEAR MlSS SUSAN, London, July 26, 1783",1783
873,to,William Cumberland Cruikshank,"London, July 30, 1783. Mentioned with other letters to the same",1783
874,to,Dr. John Mudge,"London, July and August, 1783. Several Letters from which extracts",1783
875,to,Mrs. Thrale,"London, August 13, 1783",1783
876,to,Mrs. Thrale,"London, August 20, 1783",1783
877,to,Mrs. Thrale,"London, August 26, 1783",1783
878,to,Dr. Brocklesby,"Heale near Salisbury, August 29, 1783",1783
879,to,Dr. Taylor,,
880,to,Miss Susanna Thrale,"Heale, September 9, 1783",1783
881,to,Francis Barber,"Heale, Sept. 16, 1783",1783
882,to,Dr. Burney,"London, September 20, 1783",1783
883,to,Mrs. Thrale,"London, Sept. 22, 1783",1783
884,to,Mrs. Montagu,"September 22, 1783",1783
885,to,Dr. Taylor,,
886,to,Bennet Langton,"London, September 29, 1783",1783
887,to,Bennet Langton,"London, September or October, 1783. Two letters quoted in part",1783
888,to,James Boswell,"London, September 30, 1783",1783
889,to,Miss Reynolds,"October i, 1783",1783
890,to,Mr. Tomkeson,"ist October, 1783",1783
891,to,Mrs. Thrale,"London, Oct. 6, 1783",1783
892,to,Mrs. Thrale,"London, October 9, 1783",1783
893,to,Dr. Taylor,,
894,to,Mrs. Thrale,"London, October 21, 1783",1783
895,to,Mrs. Thrale,"London, October 27, 1783",1783
896,to,Miss Reynolds,"London, October 27, 1783",1783
897,to,Mrs. Thrale,"London, Nov. i, 1783",1783
898,to,Lucy Porter,,
899,to,Richard Jackson,,
900,to,Mrs. Thrale,,
901,to,Miss Susanna Thrale,,
902,to,Miss Burney,,
903,to,Miss Burney,,
904,to,Dr. Taylor,,
905,to,William Gerard Hamilton,"London, November 19, 1783",1783
906,to,Mrs. Thrale,"London, Nov. 20, 1783",1783
907,to,Dr. Taylor,,
908,to,Sir John Hawkins,,
909,to,Mrs. Thrale,"London, NOV. 24, 1783",1783
910,to,Mrs. Thrale,"London, Nov. 27, 1783",1783
911,to,Mrs. Chapone,"London, November 28, 1783",1783
912,to,Mrs. Thrale,"London, NOV. 29, 1783",1783
913,to,Dr. Taylor,,
915,to,Sir John Hawkins,,
916,to,Sir Joshua Reynolds,"London, December 4, 1783",1783
917,to,Mrs. Thrale,"London, Dec. 13, 1783",1783
918,to,Dr. Taylor,,
919,to,Miss Reynolds,"December 23, 1783",1783
920,to,James Boswell,"London, December 24, 1783",1783
921,to,Mrs. Thrale,"London, Dec. 27, 1783",1783
922,to,Mrs. Thrale,"London, Dec. 31, 1783",1783
923,to,Dr. Taylor,,
924,to,Charles Dilly,"London, January 6, 1784",1784
925,to,Mrs. Thrale,"To MRS' THRALE3- London, Jan. 12, 1784",1784
926,to,Mrs. Thrale,"London, Jan. 21, 1784",1784
927,to,John Perkins,"London, January 21, 1784",1784
928,to,Dr. Taylor,,
929,to,Richard Clark,"London, January 27, 1784",1784
930,to,Dr. Heberden,,
931,to,Mrs. Thrale,"To MRS' THRALE*- London, Feb. 9, 1784",1784
932,to,James Boswell,"London, February n, 1784",1784
933,to,Dr. Hamilton,"Bolt Court, Feb. 11, 1784",1784
934,to,Mrs. Rogers,,
935,to,Lucy Porter,"London, February 23, 1784",1784
936,to,James Boswell,"London, February 27, 1784",1784
937,to,James Boswell,"London, March 2, 1784",1784
938,to,Mrs. Thrale,"London, March 10, 1784",1784
939,to,Lucy Porter,"Bolt-court, loth March, 1784",1784
940,to,Mrs. Gastrell and Mrs. Aston,,
941,to,Mrs. Thrale,"London, March 1 6, 1784",1784
942,to,James Boswell,"London, March 18, 1784",1784
943,to,Mrs. Thrale,"London, March 20, 1784",1784
944,to,Miss Susanna Thrale,"MY DEAREST MlSS SUSY, London, Mar. 25, 1784",1784
945,to,Bennet Langton,"London, March 27, 1784",1784
946,to,James Boswell,"London, March 30, 1784",1784
947,to,Ozias Humphry,"London, April 5, 1784",1784
948,to,Bennet Langton,"April 8, 1784",1784
949,to,Ozias Humphry,"London, April 10, 1784",1784
950,to,John Nichols,,
951,to,Dr. Taylor,"London, April 12, 1784",1784
952,to,Bennet Langton,"London, April 13, 1784",1784
953,to,Miss Reynolds,"Bolt-court, 3oth April, 1784",1784
954,to,Mrs. Thrale,"London, April 19, 1784",1784
955,to,Mrs. Thrale,"London, April 21, 1784",1784
956,to,Mrs. Thrale,"London, April 26, 1784",1784
957,to,Lucy Porter,"MY DEAR, London, April 26, 1784",1784
959,to,Miss Jane Langton,"London, May 10, 1784",1784
960,to,Mrs. Thrale,,
961,to,Miss Reynolds,"To Miss REYNOLDS 3. May 28, 1784",1784
962,to,Ozias Humphry,"London, May 31, 1784",1784
963,to,Mrs. Thrale,"London, May 31, 1784",1784
964,to,Sir Joshua Reynolds,"London, June ? i, 1784",1784
965,to,Dr. Hamilton,"London, June 2, 1784",1784
966,to,Mrs. Thrale,"London, June 17, 1784",1784
967,to,Dr. Taylor,,
968,to,Dr. Taylor,,
969,to,Mrs. Thrale,"London, June 26, 1784",1784
970,to,Mrs. Thrale,,
971,to,Sir Joshua Reynolds,"London, July 6, 1784",1784
973,to,James Boswell,"London, July n, 1784",1784
974,to,Dr. Adams,,
975,to,W. Bagshaw,"London, July 12, 1784",1784
976,to,Bennet Langton,"London, July 12, 1784",1784
977,to,John Ryland,,
978,to,Sir John Hawkins,"Ashbourne, ?July, 1784",1784
979,to,Dr. Brocklesby,"Ashbourne, July 20, 1784",1784
980,to,Sir Joshua Reynolds,"Ashbourne, July 21, 1784",1784
981,to,James Boswell,"Ashbourne, July 26, 1784",1784
982,to,James Boswell,"AshbourneJ, July 28, 1784",1784
983,to,Dr. Brocklesby,"Ashbourne, July 31, 1784",1784
984,to,Dr. Burney,"Ashbourne, August 2, 1784",1784
985,to,Dr. Brocklesby,"Ashbourne, August 5, 1784",1784
986,to,John Hoole,"Ashbourne, August 7, 1784",1784
987,to,Dr. Brocklesby,"Ashbourne, August 12, 1784",1784
988,to,Heely,"Ashbourne, August 12, 1784",1784
989,to,John Hoole,"Ashbourne, August 13, 1784",1784
990,to,Dr. Brocklesby,"Ashbourne, August 14, 1784",1784
991,to,Thomas Davies,"Ashbourne, August 14, 1784",1784
992,to,Dr. Brocklesby,"Ashbourne, August 16, 1784",1784
993,to,Dr. Brocklesby,"Ashbourne, August 19, 1784",1784
994,to,George Nicol,"Ashbourne, August 19, 1784",1784
995,to,Sir Joshua Reynolds,"Ashbourne, August 19, 1784",1784
996,to,William Windham,"Ashbourne, about August 21, 1784.",1784
997,to,Dr. Brocklesby,"Ashbourne, August 21, 1784*",1784
998,to,Francesco Sastres,"Ashbourne, August 21, 1784",1784
999,to,Bennet Langton,"London, August 25, 1784",1784
1000,to,Dr. Brocklesby,"Ashbourne, August 26, 1784",1784
1001,to,Dr. Brocklesby,"Ashbourne, September 2, 1784",1784
1002,to,Sir Joshua Reynolds,"Ashbourne, September 2, 1784",1784
1003,to,Francesco Sastres,"Ashbourne, Sept. 2, 1784",1784
1004,to,Dr. Burney,"Ashbourne, September 4, 1784",1784
1005,to,William Cumberland Cruikshank,"Ashbourne, September, 4, 1784",1784
1006,to,John Hoole,"Ashbourne, September 4, 1784",1784
1007,to,Sir Joshua Reynolds,"Ashbourne, September 9, 1784",1784
1008,to,Lord Chancellor Thurlow,"Ashbourne, September 9, 1784",1784
1009,to,Dr. Brocklesby,"Ashbourne, September 9, 1784",1784
1010,to,Dr. Brocklesby,"Ashbourne, September u, 1784",1784
1011,to,Dr. Brocklesby,"Ashbourne, September 16, 1784",1784
1012,to,Francesco Sastres,"Ashbourne, Sept. 16, 1784",1784
1013,to,Sir Joshua Reynolds,"Ashbourne, September 18, 1784",1784
1014,to,John Ryland,,
1015,to,Dr. Brocklesby,"Lichfield, September 29, 1784",1784
1016,to,John Ryland,,
1017,to,William Windham,"Lichfield, October 2, 1784",1784
1018,to,Sir Joshua Reynolds,"Lichfield, October 2, 1784",1784
1019,to,John Perkins,"Lichfield, October 4, 1784,",1784
1020,to,Dr. Brocklesby,"Lichfield, October 6, 1784",1784
1021,to,John Ryland,,
1022,to,Dr. Heberden,,
1023,to,George Strahan,"'Lichfield, Oct. 19% 1784",1784
1024,to,William Gerard Hamilton,"Lichfield, October 20, 1784",1784
1025,to,John Paradise,"Lichfield, October 20, 1784",1784
1026,to,John Nichols,"Lichfield, October 20, 1784",1784
1027,to,Francesco Sastres,"Lichfield, October 20, 1784",1784
1028,to,Dr. Taylor,,
1029,to,Dr. Brocklesby,"Lichfield, October 25, 1784",1784
1030,to,Dr. Burney,"Lichfield, November i, 1784",1784
1031,to,Francesco Sastres,"Lichfield, Nov. i, 1784",1784
1032,to,John Ryland,,
1033,to,James Boswell,"Lichfield, November 5, 1784",1784
1034,to,Sir John Hawkins,"Lichfield, November 7, 1784",1784
1035,to,Mrs. Aston and Mrs. Gastrell,"Lichfield, ? November, 1784.",1784
1036,to,Dr. Burney,"London, November 16, 1784",1784
1037,to,Edmund Hector,"London, November 17, 1784",1784
1039,to,Dr. Vyse,,
1040,to,Richard Green,"London, December 2, 1784",1784
1041,to,Lucy Porter,"London, December 2, 1784",1784
1042,to,John Nichols,,
1043,to,Mrs. Strahan,,
