letter_number,direction,correspondent,date,year
471,to,Miss Reynolds,"April 11,1776",1776
472,to,Earl of Hertford,,
473,to,Dr. Taylor,,
474,to,Miss Reynolds,"April 15, 1776",1776
475,to,James Boswell,"Bath, April, 1776.",1776
476,to,Mrs. Thrale,"London, Monday, May 6, 1776",1776
477,to,Mrs. Thrale,"London, May n, 1776",1776
478,to,Mrs. Thrale,"May 14, 1776",1776
479,to,Mrs. Thrale,"May 16, 1776",1776
480,to,Sir Joshua Reynolds,"London, May 16, 1776",1776
481,to,Mrs. Boswell,"London, May 16, 1776",1776
482,to,Mrs. Thrale,"May 18, 1776",1776
483,to,Mrs. Thrale,"May 22, 1776",1776
484,to,Dr. Adams,,
485,to,Henry Thrale,"Bolt Court, June 3, 1776",1776
486,to,Mrs. Thrale,"June 4, at night 1776",1776
487,to,Mrs. Thrale,"June 5, 1776",1776
488,to,Mrs. Thrale,"June 6, 1776",1776
489,to,Mrs. Thrale,"Junes, 1776",1776
490,to,Miss Reynolds,"June 21, 1776",1776
491,to,Sir Joshua Reynolds,"London, June 22, 1776",1776
492,to,Dr. Taylor,"June 23 ? 26, 1776",1776
493,to,James Boswell,"London, July 2, 1776,",1776
494,to,James Boswell,"London, July 6, 1776",1776
495,to,Francis Fowke,"London, July li, 1776",1776
496,to,Sir Joshua Reynolds,"London, August 3, 1776",1776
497,to,Miss Reynolds,,
498,to,John Ryland,,
500,to,Robert Levett,"Brighthelmstone, October 21, 1776",1776
501,to,John Ryland,,
502,to,James Boswell,"Bolt-court, November 16, 1776",1776
503,to,Thomas Percy,,
504,to,Thomas Percy,,
505,to,James Boswell,"London, December 21, 1776",1776
506,to,Mrs. Thrale,"Wednesday, Jan. 15, One in the morning, 1777",1777
507,to,James Boswell,"London, February 18, 1777",1777
508,to,George Steevens,"London, February 25, 1777",1777
509,to,Mrs. Aston,"Bolt-Court, March 8, 1777",1777
510,to,James Boswell,"London, March n, 1777",1777
511,to,Mrs. Aston,,
512,to,Mrs. Thrale,"March 19, 1777",1777
513,to,Henry Thrale,,
515,to,James Boswell,"May 3, 1777",1777
516,to,Dr. Taylor,,
517,to,Charles O'Connor,"London, May 19, 1777",1777
518,to,Mrs. Thrale,"May 19, 1777",1777
520,to,Charles Jenkinson,"London, June 20, 1777",1777
521,to,Dr. Dodd,"London, June 22, 1777",1777
522,to,James Boswell,"London, June 24, 1777",1777
523,to,Dr. Dodd,"London, June 26, 1777",1777
524,to,James Boswell,"London, June 28, 1777",1777
525,to,Bennet Langton,"London, June 29, 1777",1777
526,to,W. Sharp,"Bolt-court, July 7, 1777",1777
527,to,Dr. Vyse,"London, July 9, 1777",1777
528,to,James Boswell,"London, July 22, 1777",1777
529,to,Mrs. Boswell,"London, July 22, 1777",1777
530,to,Dr. Farmer,,
531,to,Dr. Vyse,"July 22, 1777",1777
532,to,Henry Thrale,"Oxford, July 31, 1777",1777
533,to,Mrs. Thrale,"Oxford, August 4, 1777",1777
534,to,James Boswell,"Oxford, August 4, 1777",1777
535,to,Mrs. Thrale,"Lichfieid, August 7, 1777",1777
536,to,Mrs. Thrale,"Lichfield, August 9, 1777-",1777
538,to,Mrs. Thrale,"Lichfield, August 23, 1777",1777
539,to,Mrs. Thrale,"Lichfield, Wednesday, August 27, 1777",1777
540,to,James Boswell,"Ashbourne, August 30, 1777",1777
541,to,James Boswell,"Ashbourne, September i, 1777",1777
542,to,Mrs. Thrale,"Ashbourne, Sept. 6, 1777",1777
543,to,Mrs. Thrale,"Ashbourne, Sept. 8, 1777",1777
544,to,James Boswell,"Ashbourne, September, n, 1777",1777
545,to,Mrs. Thrale,"Ashbourne, Sept. 13, 1777",1777
546,to,Mrs. Aston,,
547,to,Mrs. Thrale,"Ashbourne, Sept. 15, 1777-",1777
548,to,Mrs. Thrale,"Ashboume, Sept. 18, 1777",1777
549,to,Mrs. Thrale,"Ashboume, Sept. 20, 1777",1777
550,to,Mrs. Thrale,"Ashbourne, Sept. 22, 1777",1777
551,to,Mrs. Thrale,"Ashboume, Sept. 25, 1777",1777
552,to,Mrs. Thrale,"Ashbourne, Sept. 27, 1777",1777
553,to,Mrs. Thrale,"Ashbourne, Michaelmass day, 1777",1777
554,to,Mrs. Thrale,"Ashbourne, October 6, 1777",1777
555,to,Mrs. Thrale,"Ashbourne, October 13, 1777",1777
556,to,Mrs. Thrale,"Ashbourne, Oct. 16, 1777",1777
557,to,Mrs. Thrale,"Lichfield, October 22, 1777",1777
558,to,Mrs. Thrale,"Lichfield, October 25, 1777",1777
559,to,Mrs. Thrale,"Lichfield, October 27, 1777-",1777
560,to,Mrs. Thrale,"Lichfield, October 29, 1777",1777
561,to,Mrs. Thrale,"Lichfield, November 3, 1777",1777
562,to,Mrs. Thrale,"Bolt Court, November 10, 1777",1777
563,to,Mrs. Aston,"London, NOV. 20, 1777",1777
564,to,Lucy Porter,"London, Nov. 20, 1777",1777
565,to,James Boswell,"London, November 25, 1777",1777
566,to,Mrs. Gastrell,,
567,to,James Boswell,"London, December 27, 1777",1777
568,to,James Boswell,"London, January 24, 1778",1778
569,to,Thomas Cadell,,
570,to,[unknown],,
571,to,Saunders Welch,"London, February 3, 1778",1778
572,to,Lucy Porter,"Feb. 19, 1778",1778
573,to,Mrs. Montagu,"March 5, 1778",1778
574,to,Mrs. Montagu,"March 6, 1778",1778
575,to,James Boswell,"London, April 23, 1778",1778
576,to,Mrs. Thrale,"April 30, 1778",1778
577,to,Mauritius Lowe,"London, (?) May 1 5, 1778.",1778
578,to,James Boswell,"London, July 3, 1778",1778
579,to,William Strahan,"London, July 27, 1778",1778
580,to,James Elphinston,,
581,to,John Nichols,,
582,to,John Nichols,"August, 1778",1778
583,to,Mrs. Thrale,"October 15, 1778",1778
584,to,Thomas Cadell,"London, October 17, 1778",1778
