sender,recipient,date,year,sender_place,recipient_place
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1747-02-08,1747,"Cambridge, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1747-02-19,1747,"Cambridge, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1747-02-22,1747,"Cambridge, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1747-03-01,1747,"Cambridge, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1747-05-13,1747,"Stoke Poges, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1747-06-15,1747,"Cambridge, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1747-08,1747,"Stoke Poges, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1747-09-09,1747,"Stoke Poges, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1747-11,1747,"Cambridge, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1748-02,1748,"Cambridge, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1749-11-12,1749,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1750-06-12,1750,"Stoke Poges, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1751-02-11,1751,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1751-02-20,1751,"Cambridge, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1751-03-03,1751,"Cambridge, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1751-04-08,1751,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1751-04-16,1751,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1751-09-08,1751,"Cambridge, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1751-09-29,1751,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1751-11-26,1751,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1751-12-31,1751,"Cambridge, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1752-05-28,1752,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1752-07-08,1752,"Stoke Poges, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1752-08,1752,"Stoke Poges, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1752-12-17,1752,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1753-02-13,1753,"Cambridge, United Kingdom",
"Walpole, Horace, 1717-1797","Gray, Thomas, 1716-1771",1753-02-20,1753,"London, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1753-02-27,1753,"Stoke Poges, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1754-02-15,1754,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1754-03-03,1754,"Cambridge, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1754-03-17,1754,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1754-04-11,1754,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1754-05-23,1754,"Cambridge, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1755-07-22,1755,"Vyne, The, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1755-08-08,1755,"Stoke Poges, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1755-08-10,1755,"Stoke Poges, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1755-08-14,1755,"Stoke Poges, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1755-10-14,1755,"Stoke Poges, United Kingdom","London, United Kingdom"
"Walpole, Horace, 1717-1797","Gray, Thomas, 1716-1771",1755-12-25,1755,"London, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1756-07-30,1756,"Stoke Poges, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1756-08-04,1756,"Stoke Poges, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1756-08-29,1756,"Stoke Poges, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1756-09-08,1756,"Vyne, The, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1756-09-12,1756,"Vyne, The, United Kingdom","Strawberry Hill, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1756-09-19,1756,"Vyne, The, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1756-09-21,1756,"Vyne, The, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1757-03-11,1757,"London, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1757-07-11,1757,"Stoke Poges, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1757-08-10,1757,"Stoke Poges, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1757-10-13,1757,"Stoke Poges, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1757-10-21,1757,"Stoke Poges, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1758-01-17,1758,"Cambridge, United Kingdom","London, United Kingdom"
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1758-07-22,1758,"Stoke Poges, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1759-02-14,1759,"London, United Kingdom","London, United Kingdom"
"Walpole, Horace, 1717-1797","Gray, Thomas, 1716-1771",1759-02-15,1759,"London, United Kingdom",
"Gray, Thomas, 1716-1771","Walpole, Horace, 1717-1797",1760-04,1760,"London, United Kingdom",
"Walpole, Horace, 1717-1797","Gray, Thomas, 1716-1771",1760-08,1760,"Strawberry Hill, United Kingdom",
