volume,direction,correspondent,date,year
1,to,Richard Bentley,"Arlington-street, January 9, 1755",1755
1,to,Richard Bentley,"Arlington-street, Feb, 23, 1755",1755
1,to,Richard Bentley,"Arlington- street, March 27, 1755,",1755
1,to,Richard Bentley,"Strawberry-hill, April 13, 1755",1755
1,to,Richard Bentley,"Arlington-street, April 24, 1755",1755
1,to,George Montagu,,
1,to,Richard Bentley,"Arlington-street, May 6, 1755",1755
1,to,George Montagu,"Arlington-street, May 13, 1755",1755
1,to,George Montagu,,
1,to,Richard Bentley,"Strawberry-hill, June 10, 1755",1755
1,to,Richard Bentley,"Strawberry-hill, July -5, 1755",1755
1,to,Richard Bentley,"Strawberry-hill, July 17, 1755",1755
1,to,George Montagu,"Strawberry- hill, July 17, 1755",1755
1,to,George Montagu,"Strawberry-hill, July 26, 1755",1755
1,to,Richard Bentley,"Strawberry -hill, August 4, 1755, between 11 and",1755
1,to,Richard Bentley,"Strawberry-hill, August 15, 1735",1735
1,to,Richard Bentley,"Arlington-street, August 28, l755",1755
1,to,Richard Bentley,"Strawberry-liill, September 18, 1755",1755
1,to,Hon. H. S. Conway,"Strawberry-hill, Sept. 23, 1755",1755
1,to,Richard Bentley,"Arlington-street, September 30, 1755",1755
1,to,George Montagu,,
1,to,Richard Bentley,"Arlington-street, Oct. 19, 1155",1755
1,to,Richard Bentley,"Strawberry-hill, October 31, 1755",1755
1,to,George Montagu,"Strawberry-hill, Nov. 8, 1755",1755
1,to,Hon. H. S. Conway,"Arlington-street, Nov. 15, 1755",1755
1,to,Richard Bentley,"Arlington-street, November 16, 1755,",1755
1,to,George Montagu,"Arlington-street, November 25, 1755",1755
1,to,Richard Bentley,"Arlington-street, December 17, 1755",1755
1,to,George Montagu,"Arlington-street, Dec. 20, 1755",1755
1,to,George Montagu,"Arlington-street, Dec. 30, 1755",1755
1,to,Richard Bentley,"Strawberry-hill, January 6, 1 756,",1756
1,to,Hon. H. S. Conway,,
1,to,Hon. H. S. Conway,"Arlington-street, Feb. 12, 1756",1756
1,to,Hon. H. S. Conway,"Arlington-street, March 4, 1756,",1756
1,to,Hon. H. S. Conway,"Strawberry -hill, April IG, 1756",1756
1,to,George Montagu,"Arlington-street, April 20, 1756",1756
1,to,George Montagu,"Arlington-street, May 19, 1756",1756
1,to,Earl of Strafford,"Strawberry-hil], June 6, 1756",1756
1,to,George Montagu,,
1,to,George Montagu,"Strawberry-hill, July 12, 1756",1756
2,to,Richard Bentley,,
2,to,George Montagu,"Arlington-street, August 28, 1756",1756
2,to,George Montagu,"Strawberry-hill, October 14, 1756",1756
2,to,George Montagu,,
2,to,George Montagu,"Arlington-street, Oct. 28, 1756",1756
2,to,George Montagu,"Arlington-street, Nov. 6, 1756",1756
2,to,George Montagu,"Arlington -street, Nov. 25, 1756",1756
2,to,George Montagu,"May 27, 1757",1757
2,to,George Montagu,"Arlington-street, June 2, 1757",1757
2,to,Earl of Strafford,"Strawberry-hill, July 4-, 1757",1757
2,to,John Chute,"Strawberry-hill, July 12, 1757",1757
2,to,George Montagu,"Strawberry-hill, July 16, 1757",1757
2,to,George Montagu,,
2,to,John Chute,"Strawberry-hill, July 26, 1757",1757
2,to,George Montagu,"Strawberry-hill, August 4, 1757",1757
2,to,George Montagu,"Strawberry-hill, August 25, 1757",1757
2,to,George Montagu,"Strawberry -hill, Sept. 8, 1757",1757
2,to,Lady Hervey,"Strawberry -hill, September 13, 1757",1757
2,to,George Montagu,,
2,to,Earl of Strafford,"Strawberry-hill, October 11, 1757",1757
2,to,Hon. H. S. Conway,"Strawberry-hill, October 13, 1757",1757
2,to,George Montagu,"Arlington-street, Oct. 18, 1757",1757
2,to,George Montagu,,
2,to,George Montagu,"Dec. 23, 1757",1757
2,to,Rev. Dr. Birch,"Arlington-street, May 4, 1758",1758
2,to,George Montagu,"Arlington-street, May 4, 1758",1758
