instance_id,event_id,year,month,day,source_id,notes
INS001,EVT020,1684,1,5,,Great Frost. Thames frozen from c.Jan 5 to Feb 6 1684. Six weeks. Booths printing presses horse racing. Ice 11 inches thick. Source: Andrews Famous Frosts 1887.
INS002,EVT020,1716,1,,,Thames frozen Dec 1715 to Feb 1716. Several weeks. Great cook's shop on ice. Source: Andrews.
INS003,EVT020,1740,12,25,,Thames frozen Dec 25 1739 to Feb 17 1740. Seven weeks. Printed broadsides survive dated Jan 14 and Feb 5 1740. Source: Andrews.
INS004,EVT020,1789,2,,,Brief freeze Feb 1789. Melting ice carried away ship at Rotherhithe. Source: Andrews.
INS005,EVT020,1814,1,30,,Last Frost Fair. Jan 30 to Feb 5 1814. Six days. Elephant led across ice near Blackfriars. Ice broke suddenly. Source: Andrews; Regency History.
INS010,EVT060,1784,5,26,,Handel Commemoration Concert at Westminster Abbey. Greatest musical event of the century. Unprecedented news coverage. Source: Hoock Empires of the Imagination 2010.
INS011,EVT060,1784,5,,,Second Handel Commemoration Concert at Pantheon LON004. Source: Hoock; Burney research notes.
INS012,EVT061,1780,6,2,,Gordon Riots June 2-9 1780. Crowds rang bells upon arrival. Forced illumination of houses. Chapels attacked. Source: Rogers Crowds; Burney research notes Ch.5.
