source,sender,recipient,date,year,sender_place,recipient_place
CPE_Bach,Carl Philipp Emanuel Bach,,1768-01-20,1768,Hamburg,Hamburg
CPE_Bach,Carl Philipp Emanuel Bach,Georg Michael Telemann,1768-01-29,1768,Berlin,Hamburg
CPE_Bach,Carl Philipp Emanuel Bach,Georg Michael Telemann,1768-06-22,1768,Hamburg,Hamburg
CPE_Bach,Carl Philipp Emanuel Bach,Georg Michael Telemann,1768-07,1768,Hamburg,Hamburg
CPE_Bach,Carl Philipp Emanuel Bach,,1768-07-19,1768,Hamburg,Hamburg
CPE_Bach,Carl Philipp Emanuel Bach,,1769-07-12,1769,Hamburg,Hamburg
CPE_Bach,Carl Philipp Emanuel Bach,Johann Philipp Kirnberger,1769-07-21,1769,Hamburg,Berlin
CPE_Bach,Carl Philipp Emanuel Bach,Georg Wilhelm Kottowsky,1769-12-06,1769,Hamburg,Dessau
CPE_Bach,Carl Philipp Emanuel Bach,Georg Michael Telemann,1770,1770,Hamburg,Hamburg
CPE_Bach,Carl Philipp Emanuel Bach,,1770-04-03,1770,Hamburg,Hamburg
CPE_Bach,Carl Philipp Emanuel Bach,,1770-06,1770,Hamburg,Hamburg
CPE_Bach,Carl Philipp Emanuel Bach,,1770-09-22,1770,Hamburg,Hamburg
CPE_Bach,Carl Philipp Emanuel Bach,,1770-12-18,1770,Hamburg,Hamburg
CPE_Bach,Carl Philipp Emanuel Bach,Johann Philipp Kirnberger,1771,1771,Hamburg,Berlin
CPE_Bach,Carl Philipp Emanuel Bach,,1771-01-30,1771,Hamburg,Hamburg
CPE_Bach,Carl Philipp Emanuel Bach,Georg Michael Telemann,1771-01-31,1771,Hamburg,Kiel
CPE_Bach,Carl Philipp Emanuel Bach,,1771-03-08,1771,Hamburg,Hamburg
CPE_Bach,Carl Philipp Emanuel Bach,,1771-03-27,1771,Hamburg,Hamburg
CPE_Bach,Carl Philipp Emanuel Bach,Georg Michael Telemann,1771-04-11,1771,Hamburg,Kiel
CPE_Bach,Carl Philipp Emanuel Bach,Johann Joachim Eschenburg,1771-05-01,1771,Hamburg,Braunschweig
CPE_Bach,Carl Philipp Emanuel Bach,,1771-06-18,1771,Hamburg,Hamburg
CPE_Bach,Carl Philipp Emanuel Bach,Johann Joachim Eschenburg,1771-06-26,1771,Hamburg,Braunschweig
CPE_Bach,Carl Philipp Emanuel Bach,Georg Michael Telemann,1771-08,1771,Hamburg,Kiel
CPE_Bach,Carl Philipp Emanuel Bach,,1771-09-24,1771,Hamburg,Hamburg
CPE_Bach,Carl Philipp Emanuel Bach,,1771-12-23,1771,Hamburg,Hamburg
CPE_Bach,Carl Philipp Emanuel Bach,Johann Gottlob Immanuel Breitkopf,1772-01-02,1772,Hamburg,Leipzig
CPE_Bach,Carl Philipp Emanuel Bach,Johann Gottlob Immanuel Breitkopf,1772-01-08,1772,Hamburg,Leipzig
CPE_Bach,Carl Philipp Emanuel Bach,Johann Gottlob Immanuel Breitkopf,1772-04-09,1772,Hamburg,Leipzig
CPE_Bach,Carl Philipp Emanuel Bach,,1772-04-10,1772,Hamburg,Hamburg
CPE_Bach,Carl Philipp Emanuel Bach,Heinrich Wilhelm von Gerstenberg,1772-05-15,1772,Hamburg,Kopenhagen
CPE_Bach,Carl Philipp Emanuel Bach,,1772-06-22,1772,Hamburg,Hamburg
CPE_Bach,Carl Philipp Emanuel Bach,Johann Gottlob Immanuel Breitkopf,1772-08,1772,Hamburg,Leipzig
CPE_Bach,Carl Philipp Emanuel Bach,Johann Gottlob Immanuel Breitkopf,1772-09-15,1772,Hamburg,Leipzig
CPE_Bach,Carl Philipp Emanuel Bach,,1772-09-22,1772,Hamburg,Hamburg
CPE_Bach,Carl Philipp Emanuel Bach,Johann Gottlob Immanuel Breitkopf,1772-10-15,1772,Hamburg,Leipzig
CPE_Bach,Carl Philipp Emanuel Bach,Johann Gottlob Immanuel Breitkopf,1772-11-14,1772,Hamburg,Leipzig
CPE_Bach,Carl Philipp Emanuel Bach,Johann Gottlob Immanuel Breitkopf,1772-12-02,1772,Hamburg,Leipzig
CPE_Bach,Carl Philipp Emanuel Bach,,1772-12-22,1772,Hamburg,Hamburg
CPE_Bach,Carl Philipp Emanuel Bach,Johann Gottlob Immanuel Breitkopf,1773-01-03,1773,Hamburg,Leipzig
CPE_Bach,Carl Philipp Emanuel Bach,Johann Gottlob Immanuel Breitkopf,1773-04-05,1773,Hamburg,Leipzig
CPE_Bach,Carl Philipp Emanuel Bach,,1773-04-05,1773,Hamburg,Hamburg
CPE_Bach,Carl Philipp Emanuel Bach,Johann Gottlob Immanuel Breitkopf,1773-05-05,1773,Hamburg,Leipzig
CPE_Bach,Carl Philipp Emanuel Bach,Johann Gottlob Immanuel Breitkopf,1773-06-02,1773,Hamburg,Leipzig
CPE_Bach,Carl Philipp Emanuel Bach,,1773-06-12,1773,Hamburg,Hamburg
CPE_Bach,Carl Philipp Emanuel Bach,Johann Gottlob Immanuel Breitkopf,1773-06-24,1773,Hamburg,Leipzig
CPE_Bach,Heinrich Wilhelm von Gerstenberg,Carl Philipp Emanuel Bach,1773-09,1773,Kopenhagen,Hamburg
CPE_Bach,Carl Philipp Emanuel Bach,,1773-09-22,1773,Hamburg,Hamburg
CPE_Bach,Carl Philipp Emanuel Bach,Johann Gottlob Immanuel Breitkopf,1773-10-04,1773,Hamburg,Leipzig
CPE_Bach,Carl Philipp Emanuel Bach,Johann Gottlob Immanuel Breitkopf,1773-10-21,1773,Hamburg,Leipzig
CPE_Bach,Carl Philipp Emanuel Bach,Heinrich Wilhelm von Gerstenberg,1773-10-21,1773,Hamburg,Kopenhagen
CPE_Bach,Carl Philipp Emanuel Bach,Johann Nikolaus Forkel,1773-11-10,1773,Hamburg,Göttingen
CPE_Bach,Carl Philipp Emanuel Bach,Johann Gottlob Immanuel Breitkopf,1773-12-03,1773,Hamburg,Leipzig
CPE_Bach,Carl Philipp Emanuel Bach,,1773-12-17,1773,Hamburg,Hamburg
CPE_Bach,Carl Philipp Emanuel Bach,Johann Gottlob Immanuel Breitkopf,1773-12-21,1773,Hamburg,Leipzig
CPE_Bach,Carl Philipp Emanuel Bach,Johann Gottlob Immanuel Breitkopf,1774-01-21,1774,Hamburg,Leipzig
CPE_Bach,Carl Philipp Emanuel Bach,Johann Gottlob Immanuel Breitkopf,1774-01-26,1774,Hamburg,Leipzig
CPE_Bach,Carl Philipp Emanuel Bach,Johann Gottlob Immanuel Breitkopf,1774-02-09,1774,Hamburg,Leipzig
CPE_Bach,Carl Philipp Emanuel Bach,Johann Gottlob Immanuel Breitkopf,1774-02-15,1774,Hamburg,Leipzig
CPE_Bach,Carl Philipp Emanuel Bach,Johann Nikolaus Forkel,1774-03-04,1774,Hamburg,Göttingen
CPE_Bach,Carl Philipp Emanuel Bach,Johann Gottlob Immanuel Breitkopf,1774-03-16,1774,Hamburg,Leipzig
CPE_Bach,Carl Philipp Emanuel Bach,Johann Gottlob Immanuel Breitkopf,1774-03-21,1774,Hamburg,Leipzig
CPE_Bach,Carl Philipp Emanuel Bach,,1774-03-26,1774,Hamburg,Hamburg
CPE_Bach,Denis Diderot,Carl Philipp Emanuel Bach,1774-03-30,1774,Hamburg,Hamburg
CPE_Bach,Denis Diderot,Carl Philipp Emanuel Bach,1774-03-31,1774,Hamburg,Hamburg
CPE_Bach,Carl Philipp Emanuel Bach,Johann Gottlob Immanuel Breitkopf,1774-04-07,1774,Hamburg,Leipzig
CPE_Bach,Carl Philipp Emanuel Bach,Johann Gottlob Immanuel Breitkopf,1774-04-12,1774,Hamburg,Leipzig
CPE_Bach,Carl Philipp Emanuel Bach,Johann Nikolaus Forkel,1774-04-20,1774,Hamburg,Göttingen
CPE_Bach,Carl Philipp Emanuel Bach,Heinrich Wilhelm von Gerstenberg,1774-04-21,1774,Hamburg,Kopenhagen
CPE_Bach,Carl Philipp Emanuel Bach,,1774-05-10,1774,Hamburg,Hamburg
CPE_Bach,Carl Philipp Emanuel Bach,Johann Gottlob Immanuel Breitkopf,1774-05-16,1774,Hamburg,Leipzig
CPE_Bach,Carl Philipp Emanuel Bach,Johann Gottlob Immanuel Breitkopf,1774-05-27,1774,Hamburg,Leipzig
CPE_Bach,Carl Philipp Emanuel Bach,,1774-06-16,1774,Hamburg,Hamburg
CPE_Bach,Carl Philipp Emanuel Bach,Johann Nikolaus Forkel,1774-07-12,1774,Hamburg,Göttingen
d'Holbach,"Hofmannsthal, Hugo von","Beer-Hofmann, Richard",1890-09-01,1890,,
d'Holbach,"Schnitzler, Arthur","Hofmannsthal, Hugo von",1891-05-05,1891,Wien,Wien
d'Holbach,"Bahr, Hermann","Hofmannsthal, Hugo von",1891-05-06,1891,Wien,
d'Holbach,"Hofmannsthal, Hugo von","Schnitzler, Arthur",1891-05-06,1891,Wien,Wien
d'Holbach,"Hofmannsthal, Hugo von","Bahr, Hermann",1891-07-02,1891,Wien,
d'Holbach,"Hofmannsthal, Hugo von","Beer-Hofmann, Richard",1891-07-08,1891,Bad Fusch,
d'Holbach,"Hofmannsthal, Hugo von","Bahr, Hermann",1891-07-12,1891,Bad Fusch,
d'Holbach,"Hofmannsthal, Hugo von","Schnitzler, Arthur",1891-07-13,1891,Wien,Wien
d'Holbach,"Schnitzler, Arthur","Hofmannsthal, Hugo von",1891-07-27,1891,Wien,
d'Holbach,"Schnitzler, Arthur","Hofmannsthal, Hugo von",1891-07-27,1891,Wien,Wien
d'Holbach,"Hofmannsthal, Hugo von","Bahr, Hermann",1891-07-28,1891,Bad Fusch,
d'Holbach,"Hofmannsthal, Hugo von","Schnitzler, Arthur",1891-08-01,1891,Wien,Wien
