person_a,person_b,weight,year_min,year_max,sources
Charles Burney Jr,George Henry Law,3,1814,1815,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,George Huntingford,60,1785,1816,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,George Isted,1,1810,1810,coulombeau_waterfield
Charles Burney Jr,George Owen Cambridge,3,1803,1803,coulombeau_waterfield
Charles Burney Jr,George Pretyman Tomline,19,1805,1817,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,George Steevens,1,1798,1798,coulombeau_waterfield
Charles Burney Jr,George Woodfall,1,1817,1817,hemlow_catalogue
Charles Burney Jr,Gilbert Gerard,9,1778,1788,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,H Maty,1,1787,1787,coulombeau_waterfield
Charles Burney Jr,Hannah (Dillingham) Ord,1,1791,1791,coulombeau_waterfield
Charles Burney Jr,Harriet Bosse,1,1814,1814,hemlow_catalogue
Charles Burney Jr,"Henry Addington, 1st Viscount Sidmouth",2,1807,1812,coulombeau_waterfield
Charles Burney Jr,Henry Colburn,1,1813,1813,coulombeau_waterfield
Charles Burney Jr,Henry Drury,3,1813,1816,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Henry Fuseli,5,1802,1808,coulombeau_waterfield
Charles Burney Jr,Henry John Todd,7,1801,1810,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Henry Kent,1,1813,1813,hemlow_catalogue
Charles Burney Jr,Henry Kett,10,1790,1813,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Herbert Marsh,1,1816,1816,coulombeau_waterfield
Charles Burney Jr,Hester Thrale Piozzi,1,1807,1807,coulombeau_waterfield
Charles Burney Jr,Horace Twiss,1,1804,1804,coulombeau_waterfield
Charles Burney Jr,Hugh Rose,1,1809,1809,coulombeau_waterfield
Charles Burney Jr,Humphrey Owen,1,1789,1789,hemlow_catalogue
Charles Burney Jr,Isaac Reed,3,1787,1788,coulombeau_waterfield
Charles Burney Jr,J Asperne,4,1816,1817,coulombeau_waterfield
Charles Burney Jr,J H Gell,1,1817,1817,coulombeau_waterfield
Charles Burney Jr,J Morley,1,1790,1790,coulombeau_waterfield
Charles Burney Jr,J W Bacon,4,1803,1807,coulombeau_waterfield
Charles Burney Jr,J W Baron,1,1812,1812,hemlow_catalogue
Charles Burney Jr,James Beattie,2,1779,1779,coulombeau_waterfield
Charles Burney Jr,James Boswell,5,1787,1814,coulombeau_waterfield
Charles Burney Jr,"James Boswell, Jr",1,1814,1814,coulombeau_waterfield
Charles Burney Jr,James Bruce,1,1787,1787,coulombeau_waterfield
Charles Burney Jr,James Burney,2,1804,1815,coulombeau_waterfield
Charles Burney Jr,James Currey,1,1808,1808,coulombeau_waterfield
Charles Burney Jr,"James Duff, 2nd Earl Fife",8,1786,1804,coulombeau_waterfield
Charles Burney Jr,James Dunbar,3,1779,1789,coulombeau_waterfield
Charles Burney Jr,James Edwards,2,1810,1810,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,James Ferry,2,1809,1809,hemlow_catalogue
Charles Burney Jr,James Fordyce,5,1787,1792,coulombeau_waterfield
Charles Burney Jr,James Gray,11,1780,1808,coulombeau_waterfield
Charles Burney Jr,James Henry Monk,4,1810,1815,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,James Hutton,1,1790,1790,coulombeau_waterfield
Charles Burney Jr,James Mackintosh,1,1815,1815,coulombeau_waterfield
Charles Burney Jr,James Perry,7,1808,1809,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,James Syjes,1,1800,1800,coulombeau_waterfield
Charles Burney Jr,James Sykes,1,1800,1800,coulombeau_waterfield
Charles Burney Jr,James White,1,1814,1814,coulombeau_waterfield
Charles Burney Jr,James Young,2,1798,1800,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Jean-François Boissade,1,1802,1802,coulombeau_waterfield
Charles Burney Jr,Jean-François Boissanade,5,1802,1805,coulombeau_waterfield
Charles Burney Jr,John,1,1790,1790,hemlow_catalogue
Charles Burney Jr,John Aiken,2,1792,1793,coulombeau_waterfield
Charles Burney Jr,John Armstrong,1,1795,1795,coulombeau_waterfield
Charles Burney Jr,John Ash,2,1787,1790,coulombeau_waterfield
Charles Burney Jr,John Bacon,1,1812,1812,coulombeau_waterfield
Charles Burney Jr,John Barlow Seale,1,1789,1789,coulombeau_waterfield
Charles Burney Jr,John Bayot,1,1812,1812,hemlow_catalogue
Charles Burney Jr,John Blagden-Hale,1,1808,1808,coulombeau_waterfield
Charles Burney Jr,John Courtenay,1,1810,1810,coulombeau_waterfield
Charles Burney Jr,John Douglas,1,1790,1790,coulombeau_waterfield
Charles Burney Jr,John Gillies,1,1817,1817,coulombeau_waterfield
Charles Burney Jr,John Hewlett,2,1813,1813,coulombeau_waterfield
Charles Burney Jr,John Hey,2,1790,1790,coulombeau_waterfield
Charles Burney Jr,John Hoole,3,1782,1802,coulombeau_waterfield
Charles Burney Jr,John Hoppner,1,1807,1807,coulombeau_waterfield
Charles Burney Jr,John Houlton,1,1811,1811,coulombeau_waterfield
Charles Burney Jr,John Inigo Richards,1,1805,1805,coulombeau_waterfield
Charles Burney Jr,John Ireland,1,1817,1817,coulombeau_waterfield
Charles Burney Jr,John Kaye,47,1801,1816,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,John Langslow,1,1817,1817,hemlow_catalogue
Charles Burney Jr,John Lempriere,1,1788,1788,coulombeau_waterfield
Charles Burney Jr,John Luxmoore,1,1817,1817,coulombeau_waterfield
Charles Burney Jr,John Moore,1,1791,1791,coulombeau_waterfield
Charles Burney Jr,John Murray,1,1813,1813,coulombeau_waterfield
Charles Burney Jr,John Nicholls,1,1809,1809,coulombeau_waterfield
Charles Burney Jr,John Nichols,2,1795,1796,coulombeau_waterfield
Charles Burney Jr,John Philip Kemble,18,1793,1817,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,John Pridden,1,1809,1809,coulombeau_waterfield
Charles Burney Jr,John Randolph,2,1810,1814,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,John Reeves,1,1804,1804,coulombeau_waterfield
Charles Burney Jr,John Richards,1,1803,1803,coulombeau_waterfield
Charles Burney Jr,John Robinson,1,1805,1805,coulombeau_waterfield
Charles Burney Jr,John Sayer,1,1817,1817,coulombeau_waterfield
Charles Burney Jr,"John Stuart, 1st Marquis of Bute",1,1799,1799,coulombeau_waterfield
Charles Burney Jr,John Young,264,1788,1817,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,"John, 1st Baron Crewe",2,1806,1806,coulombeau_waterfield
Charles Burney Jr,Jonathan Raine,2,1811,1811,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Jonathan Raine,1,1812,1812,hemlow_catalogue
Charles Burney Jr,Joseph <Passlay>,1,1799,1799,coulombeau_waterfield
Charles Burney Jr,Joseph Banks,10,1791,1816,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Joseph Cradock,1,1810,1810,hemlow_catalogue
Charles Burney Jr,Joseph Goodall,7,1788,1810,coulombeau_waterfield
Charles Burney Jr,Joseph Nollekens,8,1803,1815,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Joseph Planta,5,1812,1815,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Joseph Warton,8,1783,1796,coulombeau_waterfield
Charles Burney Jr,Joseph White,1,1799,1799,coulombeau_waterfield
Charles Burney Jr,Joshua Iremonger,1,1786,1786,coulombeau_waterfield
Charles Burney Jr,Josiah Boydell,1,1810,1810,coulombeau_waterfield
Charles Burney Jr,Josiah Thomas,8,1799,1817,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,K Wyton,1,1815,1815,coulombeau_waterfield
Charles Burney Jr,Lady Charlotte Lindsay,2,1810,1810,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Lady Collier,1,1798,1798,coulombeau_waterfield
Charles Burney Jr,"Laurence Parsons, 2nd Earl of Rosse",1,1812,1812,coulombeau_waterfield
Charles Burney Jr,"Laurence Parsons, 2nd Earl of Rosse",1,1812,1812,hemlow_catalogue
Charles Burney Jr,Leigh,4,1794,1795,coulombeau_waterfield
Charles Burney Jr,Longmans,1,1814,1814,coulombeau_waterfield
Charles Burney Jr,Lord Findlater,5,1781,1781,coulombeau_waterfield
Charles Burney Jr,Louis de Narbonne,4,1793,1793,coulombeau_waterfield
Charles Burney Jr,Louis-George de Brequigny,1,1785,1785,coulombeau_waterfield
Charles Burney Jr,Louisa (Maty) Jortin,1,1788,1788,coulombeau_waterfield
Charles Burney Jr,M Holley,1,1792,1792,hemlow_catalogue
Charles Burney Jr,M J Routh,5,1790,1808,coulombeau_waterfield
Charles Burney Jr,M- Riollay,1,1792,1792,coulombeau_waterfield
Charles Burney Jr,Marianne Bourdois,1,1806,1806,coulombeau_waterfield
Charles Burney Jr,Marquis of Lansdowne,4,1806,1815,coulombeau_waterfield
Charles Burney Jr,Marquis of Lansdowne,1,1812,1812,hemlow_catalogue
Charles Burney Jr,Martin Davy,8,1804,1809,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Martin Routh,19,1790,1816,coulombeau_waterfield
Charles Burney Jr,Mary Berry,2,1786,1801,coulombeau_waterfield
Charles Burney Jr,Mary Carter,3,1810,1810,coulombeau_waterfield
Charles Burney Jr,Matthew Raine,4,1792,1811,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Molesworth Phillips,2,1798,1798,coulombeau_waterfield
Charles Burney Jr,Mr <Milne>,1,1817,1817,hemlow_catalogue
Charles Burney Jr,Mr Davies,1,,,coulombeau_waterfield
Charles Burney Jr,Mr Mason,1,1813,1813,coulombeau_waterfield
Charles Burney Jr,Mr President,1,1802,1802,coulombeau_waterfield
Charles Burney Jr,Mr Richardson,1,1815,1815,coulombeau_waterfield
Charles Burney Jr,Mr. Ross,1,1799,1799,coulombeau_waterfield
Charles Burney Jr,Mrs Aiken,1,1810,1810,coulombeau_waterfield
Charles Burney Jr,Mrs Crewe,2,1803,1804,coulombeau_waterfield
Charles Burney Jr,Mrs Sheridan,1,,,coulombeau_waterfield
Charles Burney Jr,Nevil Maskelyne,2,1802,1809,coulombeau_waterfield
Charles Burney Jr,Osborne Wight,1,1792,1792,coulombeau_waterfield
Charles Burney Jr,Patrick Kelly,12,1809,1816,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Patrick Wilson,2,1811,1811,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Paul Henry Maty,1,1785,1785,coulombeau_waterfield
Charles Burney Jr,Payne,1,1794,1794,coulombeau_waterfield
Charles Burney Jr,Percival Stockdale,10,1779,1788,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Peter Elmsley,3,1807,1813,coulombeau_waterfield
Charles Burney Jr,Peter Paul Dobrée,29,1802,1817,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Philippe de Loutherbourg,1,1783,1783,coulombeau_waterfield
Charles Burney Jr,Prince Hoare,3,1812,1813,coulombeau_waterfield
Charles Burney Jr,Prince Regent,1,1814,1814,coulombeau_waterfield
Charles Burney Jr,Princess Caroline,6,1807,1813,coulombeau_waterfield
Charles Burney Jr,Princess Caroline,3,1809,1812,hemlow_catalogue
Charles Burney Jr,Priscilla Kemble,1,1800,1800,coulombeau_waterfield
Charles Burney Jr,R H Barker,1,1814,1814,hemlow_catalogue
Charles Burney Jr,R Sharp,1,,,coulombeau_waterfield
Charles Burney Jr,Ralph Griffiths,13,1786,1803,coulombeau_waterfield
Charles Burney Jr,Reginald Heber,2,1804,1804,coulombeau_waterfield
Charles Burney Jr,Richard Clark,1,1807,1807,coulombeau_waterfield
Charles Burney Jr,Richard Farmer,1,1792,1792,coulombeau_waterfield
Charles Burney Jr,Richard Graves,2,1792,1793,coulombeau_waterfield
Charles Burney Jr,Richard Heber,7,1799,1817,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Richard L. Edgeworth,2,1797,1799,coulombeau_waterfield
Charles Burney Jr,Richard Owen Cambridge,1,1783,1783,coulombeau_waterfield
Charles Burney Jr,Richard Payne Knight,20,1782,1813,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Richard Payne Knight,1,1811,1811,hemlow_catalogue
Charles Burney Jr,Richard Penneck,1,1788,1788,coulombeau_waterfield
Charles Burney Jr,Richard Porson,5,1786,1796,coulombeau_waterfield
Charles Burney Jr,Richard Sharp,1,1791,1791,coulombeau_waterfield
Charles Burney Jr,Richard Twining,1,1791,1791,coulombeau_waterfield
Charles Burney Jr,Richard Twining,5,1809,1817,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Robert Burnside,10,1779,1781,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Robert Evans,1,1805,1805,coulombeau_waterfield
Charles Burney Jr,Robert Finch,9,1814,1814,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Robert Lawless of Payne,1,1793,1793,coulombeau_waterfield
Charles Burney Jr,Robert Nares,2,1788,1804,coulombeau_waterfield
Charles Burney Jr,Roger Wilbraham,5,1807,1814,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Rose Burney,1,1784,1784,coulombeau_waterfield
Charles Burney Jr,Rosette Burney,20,1784,1816,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,S Haroy,1,1779,1779,hemlow_catalogue
Charles Burney Jr,Sabrina Bricknell,1,1787,1787,coulombeau_waterfield
Charles Burney Jr,Samue,1,1800,1800,coulombeau_waterfield
Charles Burney Jr,Samuel Berdmore,3,1787,1792,coulombeau_waterfield
Charles Burney Jr,Samuel Bopet,1,1810,1810,hemlow_catalogue
Charles Burney Jr,Samuel Butler,14,1807,1817,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Samuel Hoole,2,1800,1801,coulombeau_waterfield
Charles Burney Jr,Samuel Lysons,2,1801,1801,coulombeau_waterfield
Charles Burney Jr,Samuel Parr,133,1781,1817,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Samuel Rogers,4,1806,1813,coulombeau_waterfield
Charles Burney Jr,Samuel Rose,2,1786,1786,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Samuel Thomas Bloomfield,1,1812,1812,coulombeau_waterfield
Charles Burney Jr,"Samuel, 1st Viscount Hunt",1,1806,1806,coulombeau_waterfield
Charles Burney Jr,Sarah Harriet Burney,6,1796,1814,coulombeau_waterfield
Charles Burney Jr,Scrope Berdmore,2,1808,1809,coulombeau_waterfield
Charles Burney Jr,Shute Barrington,13,1792,1815,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Sir Benjamin Hobhouse,3,1812,1815,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Sir David Wilkie,1,1814,1814,coulombeau_waterfield
Charles Burney Jr,Sir Frances Freeing,1,1810,1810,coulombeau_waterfield
Charles Burney Jr,Sir H C Englefield,2,1814,1815,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Sir James Gray,1,1790,1790,coulombeau_waterfield
Charles Burney Jr,Sir John N Ashby,1,1817,1817,hemlow_catalogue
Charles Burney Jr,Sir John Sinclair,1,1807,1807,coulombeau_waterfield
Charles Burney Jr,Sir John Soane,1,1807,1807,coulombeau_waterfield
Charles Burney Jr,Sir John St Aubyn,1,1817,1817,coulombeau_waterfield
Charles Burney Jr,Spencer Percival,1,1810,1810,coulombeau_waterfield
Charles Burney Jr,Susanna Burney Phillips,15,1779,1799,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,TJ Mathias,10,1805,1814,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Thiomas Frognall Dibdin,1,1807,1807,coulombeau_waterfield
Charles Burney Jr,Thomas Burgess,13,1788,1804,coulombeau_waterfield
Charles Burney Jr,Thomas Cadell,1,1788,1788,coulombeau_waterfield
Charles Burney Jr,Thomas Dampier,19,1802,1812,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Thomas Daniell,1,1805,1805,coulombeau_waterfield
Charles Burney Jr,Thomas Gaisford,12,1803,1810,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Thomas Gordon,1,1780,1780,coulombeau_waterfield
Charles Burney Jr,Thomas Grenville,1,1813,1813,hemlow_catalogue
Charles Burney Jr,Thomas Greville,1,1813,1813,coulombeau_waterfield
Charles Burney Jr,Thomas Kidd,7,1798,1809,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Thomas King,2,1802,1817,coulombeau_waterfield
Charles Burney Jr,Thomas Lawrence,14,1787,1815,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Thomas MacKnight,2,1784,1788,coulombeau_waterfield
Charles Burney Jr,Thomas Maurice,12,1804,1817,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Thomas Phillips,2,1815,1817,coulombeau_waterfield
Charles Burney Jr,Thomas Sheridan,6,1805,1814,coulombeau_waterfield
Charles Burney Jr,Thomas Shorting,1,1814,1814,hemlow_catalogue
Charles Burney Jr,Thomas Twining,23,1787,1803,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,Thomas Tyrwhitt,1,1780,1780,coulombeau_waterfield
Charles Burney Jr,Thomas Warton,2,1789,1789,coulombeau_waterfield
Charles Burney Jr,Thomas Winstanley,1,1790,1790,coulombeau_waterfield
Charles Burney Jr,Thomas Young,2,1810,1811,hemlow_catalogue
Charles Burney Jr,W Douglas,1,,,coulombeau_waterfield
Charles Burney Jr,W LeBas,3,1813,1813,coulombeau_waterfield
Charles Burney Jr,W LeBas,1,1813,1813,hemlow_catalogue
Charles Burney Jr,W Whittle,1,1816,1816,hemlow_catalogue
Charles Burney Jr,W. Whiffin,1,1816,1816,coulombeau_waterfield
Charles Burney Jr,Walker King,1,1813,1813,coulombeau_waterfield
Charles Burney Jr,Walter King,1,1812,1812,coulombeau_waterfield
Charles Burney Jr,Walter Savage Landor,1,1807,1807,coulombeau_waterfield
Charles Burney Jr,WilliaM Sotheby,1,1800,1800,coulombeau_waterfield
Charles Burney Jr,William Austin,1,1815,1815,coulombeau_waterfield
Charles Burney Jr,William Beloe,3,1787,1808,coulombeau_waterfield
Charles Burney Jr,"William Bentinck, 3rd Duke of Portland",1,1806,1806,coulombeau_waterfield
Charles Burney Jr,William Bewley,1,1786,1786,hemlow_catalogue
Charles Burney Jr,William Davies,4,1800,1809,coulombeau_waterfield
Charles Burney Jr,William F. Rose,1,1811,1811,coulombeau_waterfield
Charles Burney Jr,William Godwin,9,1809,1813,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,William Goodenow,1,1810,1810,hemlow_catalogue
Charles Burney Jr,William Goodwin,1,1813,1813,hemlow_catalogue
Charles Burney Jr,William Hawley,2,1813,1813,coulombeau_waterfield
Charles Burney Jr,William Hayley,1,1806,1806,coulombeau_waterfield
Charles Burney Jr,William Heberden,1,1816,1816,hemlow_catalogue
Charles Burney Jr,William Herschel,1,1797,1797,coulombeau_waterfield
Charles Burney Jr,William Howley,2,1814,1817,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,William Kaye,1,1811,1811,hemlow_catalogue
Charles Burney Jr,William Keate,2,1795,1795,coulombeau_waterfield
Charles Burney Jr,William Lort Mansel,5,1808,1816,coulombeau_waterfield
Charles Burney Jr,William Mason,1,1795,1795,coulombeau_waterfield
Charles Burney Jr,William Ogilvie,4,1781,1810,coulombeau_waterfield
Charles Burney Jr,William Parsons,10,1795,1806,coulombeau_waterfield
Charles Burney Jr,William Pitt the Younger,1,1791,1791,coulombeau_waterfield
Charles Burney Jr,William Robert Spencer,1,1805,1805,coulombeau_waterfield
Charles Burney Jr,"William Robert, Viscount Feilding",1,1792,1792,coulombeau_waterfield
Charles Burney Jr,William Rose,4,1780,1785,coulombeau_waterfield
Charles Burney Jr,William Scott,6,1790,1817,coulombeau_waterfield
Charles Burney Jr,William Seward,7,1787,1799,coulombeau_waterfield
Charles Burney Jr,William Sharp,2,1804,1810,coulombeau_waterfield
Charles Burney Jr,William Shield,1,1817,1817,coulombeau_waterfield
Charles Burney Jr,William Siddons,1,1804,1804,coulombeau_waterfield
Charles Burney Jr,William Thomas Fitzgerald,1,1805,1805,coulombeau_waterfield
Charles Burney Jr,William Thomas Lewis,1,1787,1787,coulombeau_waterfield
Charles Burney Jr,William Vincent,17,1798,1813,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,William Weller Pepys,1,1806,1806,coulombeau_waterfield
Charles Burney Jr,William Wilberforce,11,1805,1814,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney Jr,William Windham,9,1786,1807,coulombeau_waterfield
Charles Burney Jr,"William, Lord Marysel",1,1816,1816,hemlow_catalogue
Charles Burney Jr,cb Jr,1,1784,1784,coulombeau_waterfield
Charles Dilly,Samuel Johnson,2,1779,1784,johnson_hill
Charles Foster,Frances Burney,3,,,hemlow_catalogue
Charles Grant,David Brown,3,1786,1812,known_connection
Charles Grant,John Thomas,2,1787,1801,known_connection
Charles Grant,Richard Thomas Burney,1,1785,1808,known_connection
Charles Grant,William Carey,2,1793,1823,known_connection
Charles James Fox,Edmund Burke,5,1774,1788,burke_1844
Charles Jenkinson,Samuel Johnson,1,1777,1777,johnson_hill
Charles John James,Frances Burney,1,,,hemlow_catalogue
Charles Landon,Frances Burney,1,,,hemlow_catalogue
Charles O'Connor,Samuel Johnson,2,1757,1777,johnson_hill
Charles Parr,Frances Burney,3,1814,1814,hemlow_catalogue
Charles Parr Burney,Frances Burney,42,1812,1839,hemlow_catalogue
Charles Sicard,Frances Burney,3,,,hemlow_catalogue
Charles Townshend,Edmund Burke,4,1771,1771,burke_1844
Charles Walmesley,Frances Burney,1,1780,1780,waterfield_thesis
Charles-Francois Dupetit Dumouriez,Frances Burney,2,,,hemlow_catalogue
Charles-Maurice de Talleyrand-Perigord,Frances Burney,2,1801,1801,hemlow_catalogue
Charles-Maurice de Talleyrand-Perigord,Germaine de Stael,3,1788,1817,known_connection
Charles-Maurice de Talleyrand-Perigord,Louis de Narbonne,2,1789,1812,known_connection
Charles-Maurice de Talleyrand-Perigord,Marquis de Lafayette,1,1789,1792,known_connection
Charlotte (Gregory) Allenv,Frances Burney,1,,,hemlow_catalogue
Charlotte Ann Burney,Frances Burney,15,1780,1785,hemlow_catalogue
Charlotte Barrett,Frances Burney,22,1822,1839,hemlow_catalogue
Charlotte Beckerdorff,Frances Burney,14,1812,1816,hemlow_catalogue
Charlotte Bedingfield,Frances Burney,2,1815,1815,hemlow_catalogue
Charlotte Broome,Clement Francis,1,1786,1792,waterfield_thesis
Charlotte Broome,Frances Burney,3,1786,1801,burney_journal_articles
Charlotte Broome,Frances Burney,340,1782,1839,hemlow_catalogue
Charlotte Broome,Marianne Francis,2,1790,1832,known_connection
Charlotte Broome,Ralph Broome,3,1798,1805,known_connection
Charlotte Broome,Ralph Broome,1,1799,1810,waterfield_thesis
Charlotte Broome,Warren Hastings,1,1786,1800,burney_journal_articles
Charlotte Broome,Warren Hastings,1,1786,1800,waterfield_thesis
Charlotte Coronel,Frances Burney,1,1785,1785,hemlow_catalogue
Charlotte Fitzgerald Baroness Ros,Frances Burney,2,1824,1824,hemlow_catalogue
Charlotte Lennox,David Garrick,4,1768,1775,garrick_boaden_1831
Charlotte P,Frances Burney,1,1782,1782,hemlow_catalogue
Charlotte Walsingham,Frances Burney,8,1783,1793,hemlow_catalogue
Chevalier de Grave,Edmund Burke,2,1792,1793,burke_1844
Chevalier de la Bintinaye,Edmund Burke,6,1791,1792,burke_1844
Chief Justice Aston,William Gerard Hamilton,1,1762,1762,burke_1844
Choderlos de Laclos,Frances Burney,1,1793,1793,waterfield_thesis
Choderlos de Laclos,Germaine de Stael,1,1789,1793,known_connection
Christoph Martin Wieland,Germaine de Stael,16,1803,1808,correspsearch
Citizen Perigaux,Joseph Priestley,1,,,priestley
Claire (de Kersaint),Frances Burney,1,1797,1797,hemlow_catalogue
Clarissa Marion Bolton,Frances Burney,5,1832,1835,hemlow_catalogue
Claude Pierre Patu,David Garrick,10,1755,1756,garrick_boaden_1831
Clement Frances St,Frances Burney,1,,,hemlow_catalogue
Clement Francis,Warren Hastings,1,1782,1792,waterfield_thesis
Comte d'Artois,Edmund Burke,2,1793,1793,burke_1844
Comte d'Artois,the Due d'Harcourt,1,1793,1793,burke_1844
Comte d'Artois,the Royalist Army in Poitou,1,1793,1793,burke_1844
Comte de Mercy,Edmund Burke,1,1793,1793,burke_1844
Comte de Serent,Edmund Burke,1,1794,1794,burke_1844
Comtesse Irma Moore,Frances Burney,2,,,hemlow_catalogue
Comtesse Irma Morel,Frances Burney,1,,,hemlow_catalogue
Comtesse de Simiane,Frances Burney,1,1802,1802,hemlow_catalogue
Comtesse de Simiane,Frances Burney,1,1802,1802,known_connection
Countess Spencer,David Garrick,16,1761,1778,garrick_boaden_1831
Countess de Boufflers,Samuel Johnson,1,1771,1771,johnson_hill
Countess of Ailesbury,Horace Walpole,18,1761,1797,walpole_1820
Countess of Harcourt,Frances Burney,9,1802,1817,hemlow_catalogue
Court Davies,Frances Burney,1,1786,1786,hemlow_catalogue
César,Frances Burney,1,,,hemlow_catalogue
David Baillie Warden,Frances Burney,2,,,hemlow_catalogue
David Brown,John Thomas,2,1787,1801,known_connection
David Brown,Richard Thomas Burney,1,1786,1808,known_connection
David Brown,William Carey,2,1793,1812,known_connection
David Garrick,Denis Diderot,2,1763,1765,garrick_boaden_1831
David Garrick,Duke of Devonshire,8,1757,1763,garrick_boaden_1831
David Garrick,Earl of Sandwich,6,1776,1779,garrick_boaden_1831
David Garrick,Edmund Burke,3,1765,1779,"burke_1844,known_connection"
David Garrick,Elizabeth Griffith,38,1766,1778,garrick_boaden_1831
David Garrick,Elizabeth Montagu,1,1760,1779,emco_montagu
David Garrick,Frances Abington,24,1774,1778,garrick_boaden_1831
David Garrick,George Colman,24,1765,1778,garrick_boaden_1831
David Garrick,George Garrick,13,1767,1776,garrick_boaden_1831
David Garrick,George Steevens,40,1765,1776,garrick_boaden_1831
David Garrick,Grey Cooper,11,1771,1776,garrick_boaden_1831
David Garrick,Hannah More,20,1776,1778,garrick_boaden_1831
David Garrick,Henri-Louis Lekain,6,1765,1771,garrick_boaden_1831
David Garrick,Hugh Kelly,10,1767,1775,garrick_boaden_1831
David Garrick,Isaac Bickerstaff,9,1767,1772,garrick_boaden_1831
David Garrick,Jane Pope,10,1775,1776,garrick_boaden_1831
David Garrick,Jean Monnet,46,1765,1771,garrick_boaden_1831
David Garrick,Jean-Baptiste-Antoine Suard,8,1767,1776,garrick_boaden_1831
David Garrick,Jean-Georges Noverre,8,1754,1755,garrick_boaden_1831
David Garrick,John Hoadly,37,1763,1776,garrick_boaden_1831
David Garrick,Joshua Reynolds,1,1760,1779,known_connection
David Garrick,Lord Camden,30,1771,1778,garrick_boaden_1831
David Garrick,Marie-Jeanne Riccoboni,38,1765,1777,garrick_boaden_1831
David Garrick,Percival Stockdale,8,1773,1776,garrick_boaden_1831
David Garrick,Richard Cumberland,23,1768,1778,garrick_boaden_1831
David Garrick,Robert Jephson,21,1763,1777,garrick_boaden_1831
David Garrick,Samuel Foote,9,1749,1774,garrick_boaden_1831
David Garrick,Samuel Johnson,6,1749,1779,"johnson_hill,known_connection"
David Garrick,Samuel Nott,11,1770,1778,garrick_boaden_1831
David Garrick,Spranger Barry,14,1746,1774,garrick_boaden_1831
David Garrick,Thomas Arne,10,1762,1775,garrick_boaden_1831
David Garrick,Thomas Francklin,19,1767,1775,garrick_boaden_1831
