person_a,person_b,weight,year_min,year_max,sources
Bennet Langton,Samuel Johnson,24,1755,1784,johnson_hill
Bentz für den Stadtrat von Zittau,Carl Philipp Emanuel Bach,2,1753,1753,correspsearch_european
Bernard Dewes,Frances Burney,1,1788,1788,hemlow_catalogue
Bernardo marquis del Campo,Frances Burney,1,1789,1789,hemlow_catalogue
Bishop of Killaloe,Edmund Burke,1,1782,1782,burke_1844
Bonneville-Lara,Frances Burney,2,1791,1791,hemlow_catalogue
Brigita Piez Frontoni,Charles Burney,1,1776,1776,hemlow_catalogue
Brownlow North,Charles Burney,2,,,hemlow_catalogue
Brownlow North,Charles Burney Jr,1,1781,1781,coulombeau_waterfield
Burdett Mesangere,Frances Burney,1,,,hemlow_catalogue
Byrne,Edmund Burke,1,1795,1795,burke_1844
"Bölsche, Wilhelm","Hofmannsthal, Hugo von",1,1891,1891,correspsearch_european
C J Blomfield,Charles Burney Jr,16,1807,1817,"coulombeau_waterfield,hemlow_catalogue"
C J Hatcher,Charles Burney Jr,1,1813,1813,hemlow_catalogue
C J Hunter,Charles Burney Jr,1,1813,1813,coulombeau_waterfield
C T F Metcalf,Frances Burney,1,,,hemlow_catalogue
C T P Metcalf,Frances Burney,1,,,hemlow_catalogue
C W Berd,Charles Burney Jr,1,1791,1791,coulombeau_waterfield
C W Halliday,Frances Burney,1,,,hemlow_catalogue
C W Hatchett,Frances Burney,1,,,hemlow_catalogue
"CAB, FB",Charles Burney Jr,1,1780,1780,coulombeau_waterfield
"CAB, SEB, FB",Charles Burney Jr,1,1781,1781,coulombeau_waterfield
CBFB (one page written by FBA as NPG),Frances Burney,1,,,hemlow_catalogue
CBFB with PS from EBB,Frances Burney,2,1828,1828,hemlow_catalogue
CFB,Frances Burney,2,1833,1833,hemlow_catalogue
CTT P Metcalfe,Charles Burney,1,1836,1836,hemlow_catalogue
Cadell,Charles Burney Jr,7,1795,1809,coulombeau_waterfield
Capt. James Keir,Joseph Priestley,10,,,priestley
Capt. Mercer,Edmund Burke,1,1790,1790,burke_1844
Capt. Woodford,Edmund Burke,2,1791,1794,burke_1844
Captain Langton,Samuel Johnson,2,1778,1782,johnson_hill
Carl Philipp Emanuel Bach,Christoph Gottlieb von Murr,1,1765,1765,correspsearch_european
Carl Philipp Emanuel Bach,Collegium scholarchale,2,1767,1767,correspsearch_european
Carl Philipp Emanuel Bach,Denis Diderot,4,1774,1774,correspsearch|correspsearch_european
Carl Philipp Emanuel Bach,Georg Michael Telemann,13,1767,1771,correspsearch_european
Carl Philipp Emanuel Bach,Georg Philipp Telemann,3,1756,1759,correspsearch_european
Carl Philipp Emanuel Bach,Georg Wilhelm Kottowsky,1,1769,1769,correspsearch_european
Carl Philipp Emanuel Bach,Hans Jacob Faber,1,1767,1767,correspsearch_european
Carl Philipp Emanuel Bach,Heinrich Wilhelm von Gerstenberg,4,1772,1774,correspsearch_european
Carl Philipp Emanuel Bach,Johann Christian Bach,1,1767,1767,correspsearch_european
Carl Philipp Emanuel Bach,Johann Elias Bach,1,1742,1742,correspsearch_european
Carl Philipp Emanuel Bach,Johann Gottlob Immanuel Breitkopf,32,1765,1774,correspsearch_european
Carl Philipp Emanuel Bach,Johann Joachim Eschenburg,2,1771,1771,correspsearch_european
Carl Philipp Emanuel Bach,Johann Nikolaus Forkel,4,1773,1774,correspsearch_european
Carl Philipp Emanuel Bach,Johann Philipp Kirnberger,2,1769,1771,correspsearch_european
Carl Philipp Emanuel Bach,Michael Gabriel Fredersdorf,1,1757,1757,correspsearch_european
Carl Philipp Emanuel Bach,einen Hauptmann,1,1766,1766,correspsearch_european
Carlo Broschi Farinelli,Charles Burney,2,1770,1770,tour_contact
Caroline Anna Moore,Frances Burney,5,1824,1825,hemlow_catalogue
Cassandra Cooke,Frances Burney,13,1794,1819,hemlow_catalogue
Catherine Clive,David Garrick,7,1768,1778,garrick_boaden_1831
Catherine Coussmaker,Frances Burney,6,1778,1778,hemlow_catalogue
Catherine de Boulogne,Frances Burney,9,1804,1818,hemlow_catalogue
Cecile (du Repaid de Caramar),Frances Burney,1,1818,1818,hemlow_catalogue
Cecile de Sommery,Frances Burney,4,1818,1818,hemlow_catalogue
Cecilia Burney,Charles Burney Jr,1,1788,1817,burney_letter_2022
Cecilia Lock,Frances Burney,4,1814,1814,hemlow_catalogue
Cecilia Maria Henslow,Charles Burney,1,,,hemlow_catalogue
Cesar,Frances Burney,2,1804,1804,hemlow_catalogue
Charles Arne,Charles Burney,1,1744,1748,waterfield_thesis
Charles Babbage,Frances Burney,7,1829,1829,hemlow_catalogue
Charles Blagden,Charles Burney,1,1792,1792,hemlow_catalogue
Charles Burney,Charles Burney Jr,573,1780,1814,"coulombeau_waterfield,hemlow_catalogue"
Charles Burney,Charles Butler,1,,,hemlow_catalogue
Charles Burney,Charles Clagget,1,,,hemlow_catalogue
Charles Burney,Charles Davy,1,1772,1772,hemlow_catalogue
Charles Burney,Charlotte Broome,1,,,hemlow_catalogue
Charles Burney,Charlotte Harriet Payne Burney,58,1807,1813,hemlow_catalogue
Charles Burney,Charlotte Lennox,2,,,hemlow_catalogue
Charles Burney,Charlotte Smith,6,,,hemlow_catalogue
Charles Burney,Christian Cannabich,1,1772,1772,tour_contact
Charles Burney,Christian Latrobe,10,1799,1804,hemlow_catalogue
Charles Burney,Christoph Daniel Ebeling,5,1771,1773,hemlow_catalogue
Charles Burney,Christoph Willibald Gluck,1,1772,1772,tour_contact
Charles Burney,Christopher Smart,2,1749,1768,hemlow_catalogue
Charles Burney,Clarissa Marion Bolton,4,1832,1835,hemlow_catalogue
Charles Burney,Claude Balbastre,1,1770,1770,tour_contact
